Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
DNAdamageoutput_1Nov.root,N/A,N/A,22,2.700000000000001e-20,301220.0,/user/home/ms23570/work/DaRT_RBE/DNA_damage/geometryFiles/sugarPos_n2_300nm_H75nm_R11nm_33hist_50deg.bin,M,M
EventNum,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
13374,0.7923488299170837,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13375,1.119253033217281,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13376,1.9760624439825456,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13377,1.5674011877811715,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13379,1.0965180214324914,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13380,3.6418641828037486,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13381,0.6609264407556532,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13382,0.2839200654693967,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13383,5.240061231170436,N/A,N/A,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
13384,0.5943731287441814,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13385,0.4271467555912396,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13386,1.4595085212753505,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13387,2.1314580773440537,N/A,N/A,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
13388,4.995676172764418,N/A,N/A,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
13389,2.873813801540688,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
